Price,ppi,cpu_core,cpu_freq,internal_mem,ram,RearCam,Front_Cam,thickness
2357,424,8,1.35,16,3,13,8,7.4
1749,233,2,1.3,4,1,3.15,0,9.9
1916,312,4,1.2,8,1.5,13,5,7.6
1315,233,2,1.3,4,0.512,3.15,0,11
1749,233,2,1.3,4,1,3.15,0,9.9
2137,401,4,2.3,16,2,16,8,9.5
1238,233,2,1.2,8,1,2,0,11.7
2137,401,4,2.3,16,2,16,8,9.5
1315,233,2,1.3,4,0.512,3.15,0,11
2580,432,4,2.5,16,2,16,2,8.1
2438,277,8,1.5,32,4,13,8,7.7
2006,200,8,1.4,4,1,5,0,8.9
2174,294,4,1.3,16,1,13,5,8.2
2744,524,4,2.7,32,3,16,3.7,8.3
2580,432,4,2.5,16,2,16,2,8.1
1612,294,4,1.2,8,1.5,8,1.2,10
2258,441,4,2.3,16,2,13,2,10
2938,534,4,1.875,32,4,12.3,8,8.5
1612,294,4,1.2,8,1.5,8,1.2,10
1238,233,2,1.2,8,1,2,0,11.7
2438,277,8,1.5,32,4,13,8,7.7
2392,282,8,1.4,32,3,13,16,7.7
2977,577,8,2.3,32,4,12,5,7.9
2744,524,4,2.7,32,3,16,3.7,8.3
1942,469,4,2.15,16,2,16,4,10.3
1390,220,4,1.2,8,1,5,5,8.8
2006,200,8,1.4,4,1,5,0,8.9
2938,534,4,1.875,32,4,12.3,8,8.5
1390,220,4,1.2,8,1,5,5,8.8
1950,187,4,1.3,8,1,8,2,6.4
2258,441,4,2.3,16,2,13,2,10
2977,577,8,2.3,32,4,12,5,7.9
3316,428,8,1.75,32,3,20.7,5.1,6.9
2654,386,8,1.55,32,2,16,5,5.9
1421,233,2,1,4,0.512,2,0,9.8
2654,386,8,1.55,32,2,16,5,5.9
1942,469,4,2.15,16,2,16,4,10.3
2124,224,4,2.26,16,2,5,2,7.8
1777,178,4,1.3,4,0.512,5,0,9.2
2392,282,8,1.4,32,3,13,16,7.7
2124,224,4,2.26,16,2,5,2,7.8
2087,294,4,1.3,32,3,8,5,7.6
1843,218,4,1.3,8,1,5,0,10.1
2087,294,4,1.3,32,3,8,5,7.6
2859,515,4,1.875,64,4,12,5,7.9
1989,294,4,1.3,16,2,13,5,8.7
1421,233,2,1,4,0.512,2,0,9.8
3316,428,8,1.75,32,3,20.7,5.1,6.9
1843,218,4,1.3,8,1,5,0,10.1
2685,386,8,1.8,32,3,21,5,7.5
1741,245,4,1.2,8,1,5,0,12.3
1347,170,2,1.3,4,0.512,2,0,9.1
2859,515,4,1.875,64,4,12,5,7.9
3658,428,8,2.45,64,6,12,8,7.5
1984,294,4,1,8,1,8,5,8.1
1777,178,4,1.3,4,0.512,5,0,9.2
3658,428,8,2.45,64,6,12,8,7.5
1984,294,4,1,8,1,8,5,8.1
1989,294,4,1.3,16,2,13,5,8.7
1741,245,4,1.2,8,1,5,0,12.3
2824,401,6,1.53,32,3,21,8,9.3
2746,401,4,1.83,64,4,13,5,8.5
1347,170,2,1.3,4,0.512,2,0,9.1
2323,306,8,1.7,16,1,8,5,5.1
2685,386,8,1.8,32,3,21,5,7.5
2824,401,6,1.53,32,3,21,8,9.3
2746,401,4,1.83,64,4,13,5,8.5
2044,283,8,2,8,2,5,2,7.3
1734,245,4,1.2,4,1,8,0,8.5
2323,306,8,1.7,16,1,8,5,5.1
1734,245,4,1.2,4,1,8,0,8.5
2276,294,8,1.5,16,2,13,5,7.8
2044,283,8,2,8,2,5,2,7.3
3116,401,8,1.5,64,4,13,16,7.3
2571,306,4,1.2,16,2,8,5,5.1
2276,294,8,1.5,16,2,13,5,7.8
2571,306,4,1.2,16,2,8,5,5.1
1396,170,4,1.2,4,1,3,0,9
2714,401,8,1.35,16,2,13,5,5.1
3005,515,8,1.8,32,4,16,5,7.6
2714,401,8,1.35,16,2,13,5,5.1
791,121,1,0.208,0,0.004,0,0,13.2
3005,515,8,1.8,32,4,16,5,7.6
3837,541,4,1.875,128,6,16,8,7.6
1646,160,4,1.2,8,1,5,5,9
1396,170,4,1.2,4,1,3,0,9
791,121,1,0.208,0,0.004,0,0,13.2
3837,541,4,1.875,128,6,16,8,7.6
1302,235,2,1.2,8,1,2,0,10.6
1302,235,2,1.2,8,1,2,0,10.6
1646,160,4,1.2,8,1,5,5,9
1831,294,4,1.2,8,1,13,5,8.4
1831,294,4,1.2,8,1,13,5,8.4
1810,189,4,1.2,16,1.5,3.15,1.2,9.7
1511,221,4,1.2,8,0.512,5,0,9.2
1810,189,4,1.2,16,1.5,3.15,1.2,9.7
2562,367,8,1.7,16,2,13,13,8.2
2562,367,8,1.7,16,2,13,13,8.2
1522,220,2,1.2,0,1,8,0,10.8
1511,221,4,1.2,8,0.512,5,0,9.2
2343,432,4,2.5,16,2,16,2,8.9
833,166,0,0,0,0.008,0,0,12.9
1522,220,2,1.2,0,1,8,0,10.8
2343,432,4,2.5,16,2,16,2,8.9
2744,440,8,1.25,16,2,16,8,8
833,166,0,0,0,0.008,0,0,12.9
2744,440,8,1.25,16,2,16,8,8
1676,294,4,1.2,16,1,10,0.9,8.5
1676,294,4,1.2,16,1,10,0.9,8.5
2858,513,4,1.875,32,4,16,5,7.6
754,167,0,0,0.004,0.004,0,0,12.4
2975,534,8,1.6,32,3,16,8,7
2975,534,8,1.6,32,3,16,8,7
754,167,0,0,0.004,0.004,0,0,12.4
2880,432,8,2.1,32,4,20,8,7
2858,513,4,1.875,32,4,16,5,7.6
3287,401,8,2,32,4,12,13,8
3287,401,8,2,32,4,12,13,8
2054,403,8,1.35,16,2,21,5,10.9
1734,245,4,1.2,4,0.512,5,2,10.9
1734,245,4,1.2,4,0.512,5,2,10.9
2054,403,8,1.35,16,2,21,5,10.9
2001,258,4,1.2,16,2,8,1,10.2
2001,258,4,1.2,16,2,8,1,10.2
2880,432,8,2.1,32,4,20,8,7
705,128,0,0,0.128,0.032,2,0,15.6
705,128,0,0,0.128,0.032,2,0,15.6
2491,247,8,1.6,32,3,8,2,8
2491,247,8,1.6,32,3,8,2,8
2466,534,4,2.7,32,3,13,2.1,9.1
1357,200,4,1.2,0,0,5,0,11.6
1357,200,4,1.2,0,0,5,0,11.6
2466,534,4,2.7,32,3,13,2.1,9.1
2266,294,8,1.4,8,1,8,8,6.3
2266,294,8,1.4,8,1,8,8,6.3
2445,294,4,1.3,32,3,8,5,8.5
2445,294,4,1.3,32,3,8,5,8.5
3116,401,8,1.5,64,4,13,16,7.3
2409,441,4,2.3,32,2,4,5,9.4
2409,441,4,2.3,32,2,4,5,9.4
628,128,0,0,0.256,0.128,1.3,0,18.5
628,128,0,0,0.256,0.128,1.3,0,18.5
2508,424,4,2.5,16,3,20.7,2.2,7.3
2508,424,4,2.5,16,3,20.7,2.2,7.3
1921,184,4,1.3,8,1,13,8,8
1921,184,4,1.3,8,1,13,8,8
3102,806,8,1.75,32,3,23,5.1,7.8
3102,806,8,1.75,32,3,23,5.1,7.8
3055,401,4,1.875,64,6,16,8,7.4
614,129,0,0,0,0.004,0,0,14.1
614,129,0,0,0,0.004,0,0,14.1
3055,401,4,1.875,64,6,16,8,7.4
4361,515,8,1.95,128,6,12,8,7.4
4361,515,8,1.95,128,6,12,8,7.4
2536,367,8,1.5,16,3,21.5,16,8.4
3551,538,4,1.875,128,6,12,16,8.4
3551,538,4,1.875,128,6,12,16,8.4
3211,534,4,1.975,128,6,20,8,7.9
3260,401,8,2.2,64,4,20,20,6.8
3211,534,4,1.975,128,6,20,8,7.9
2536,367,8,1.5,16,3,21.5,16,8.4
